Topic 0
Topic coherence: -297.927108147
AVG: -1.5680374113
SD:  0.633567675076
bank export  0.006551789413     -2.20949466993/-337.235300259
rise surplus  0.00646178172994     -2.1791409019/-337.235300259
january year  0.00646146726615     -2.17903485362/-337.235300259
dlrs stg  0.00645040981759     -2.17530589163/-337.235300259
increase stg  0.00645040981759     -2.17530589163/-337.235300259
deficit rise  0.00636763767595     -2.14739220359/-337.235300259
february u.s.  0.00634662572119     -2.14030623072/-337.235300259
february market  0.00634333496683     -2.13919647218/-337.235300259
dlrs trade  0.00630587499919     -2.12656364875/-337.235300259
bank january  0.00628920303111     -2.12094127259/-337.235300259
oil year  0.00620704553232     -2.09323486381/-337.235300259
stg u.s.  0.00617436984492     -2.08221546856/-337.235300259
january pct  0.00615508670512     -2.07571251312/-337.235300259
mln rise  0.00612541923871     -2.06570759618/-337.235300259
february pct  0.00611852288025     -2.06338190066/-337.235300259
deficit stg  0.00610919604283     -2.06023656184/-337.235300259
export pct  0.00609679905689     -2.05605586057/-337.235300259
expect february  0.00609669647837     -2.05602126747/-337.235300259
january trade  0.00608005658786     -2.050409709/-337.235300259
billion surplus  0.00607463182097     -2.04858028611/-337.235300259
increase mln  0.00604913751132     -2.03998270494/-337.235300259
february price  0.00604653167799     -2.03910392595/-337.235300259
billion february  0.00603410332731     -2.03491264738/-337.235300259
oil pct  0.00594903168583     -2.00622348682/-337.235300259
billion oil  0.00594163694727     -2.00372971994/-337.235300259
billion january  0.0059157390654     -1.99499603998/-337.235300259
bank dlrs  0.00589660201445     -1.98854235085/-337.235300259
increase january  0.00583809557253     -1.96881191334/-337.235300259
mln price  0.00582703351416     -1.96508139677/-337.235300259
bank february  0.00581064000107     -1.95955292546/-337.235300259
expect stg  0.00580322500078     -1.95705232561/-337.235300259
bank mln  0.00577937993216     -1.94901092673/-337.235300259
bank year  0.00575559782966     -1.94099076226/-337.235300259
dlrs increase  0.00575537110252     -1.94091430186/-337.235300259
february trade  0.00572682895005     -1.9312888805/-337.235300259
market mln  0.00563675015777     -1.90091113194/-337.235300259
february increase  0.00563671924696     -1.90090070773/-337.235300259
bank price  0.0056350969664     -1.90035361745/-337.235300259
billion deficit  0.00552946516484     -1.86473084514/-337.235300259
export year  0.00552696697808     -1.86388836837/-337.235300259
expect mln  0.00548895434446     -1.85106916646/-337.235300259
mln u.s.  0.00544639891758     -1.8367179743/-337.235300259
dlrs market  0.00542477734721     -1.82942641753/-337.235300259
billion export  0.00541839268072     -1.8272732826/-337.235300259
pct trade  0.00538787453682     -1.81698148718/-337.235300259
bank u.s.  0.0053316483264     -1.79802002423/-337.235300259
oil trade  0.00525518249577     -1.77223304688/-337.235300259
expect export  0.00517386138482     -1.74480869761/-337.235300259
trade year  0.00513493973337     -1.73168294279/-337.235300259
price stg  0.00508395973707     -1.71449068844/-337.235300259
dlrs expect  0.00506818227055     -1.70916996978/-337.235300259
bank increase  0.00501515985297     -1.69128893886/-337.235300259
export increase  0.00490986041029     -1.65577824969/-337.235300259
surplus trade  0.0048540130792     -1.63694455822/-337.235300259
export january  0.00480454880226     -1.62026345794/-337.235300259
export price  0.00475812284162     -1.60460698516/-337.235300259
bank trade  0.00474954983986     -1.60171586634/-337.235300259
deficit trade  0.00473816676014     -1.59787709003/-337.235300259
deficit january  0.00472705997838     -1.59413149115/-337.235300259
market year  0.00470021811888     -1.5850794686/-337.235300259
bank expect  0.00465622447107     -1.57024325757/-337.235300259
export oil  0.00464972882455     -1.56805269627/-337.235300259
dlrs u.s.  0.00462955639134     -1.5612498397/-337.235300259
